Time,data
2133779862.3927596,-0.21335788351855156
2133779862.4320016,-0.20325489790167478
2133779862.4715638,-0.18641628943303865
2133779862.5116873,-0.17247108245556428
2133779862.5531101,-0.14097491443850688
2133779862.5922205,-0.1177803803956142
2133779862.6321356,-0.02397544066537463
2133779862.6721978,-0.010709177388041224
2133779862.7117944,0.01588224520009701
2133779862.7520068,-0.05241322168652057
2133779862.7919436,-0.020451728909954725
2133779862.8317916,0.033631851544322744
2133779862.8717346,0.018279252038009508
2133779862.9117932,0.043491694015567184
2133779862.9521613,0.07080347975170831
2133779862.9925613,0.11041059282231808
2133779863.0335522,0.12294346185640431
2133779863.0723493,0.14749835053083443
2133779863.1130803,0.1723664732157567
2133779863.1530023,0.25574796999230875
2133779863.1928358,0.36
2133779863.2348938,0.36
2133779863.2717533,0.36
2133779863.3115392,0.36
2133779863.351487,0.36
2133779863.3914967,0.36
2133779863.432665,0.36
2133779863.4723043,0.36
2133779863.5115302,0.36
2133779863.5519795,0.36
2133779863.5919356,0.36
2133779863.6321366,0.36
2133779863.6715481,0.36
2133779863.7118583,0.36
2133779863.7519524,0.36
2133779863.7918978,0.36
2133779863.8323555,0.36
2133779863.8720992,0.36
2133779863.9115999,0.36
